Id,Title,Action,Drama,Adventure,Sci-Fi,Fantasy,Comedy,Romance,Thriller,Crime,War,Mystery,Animation,Children,Horror,Musical,Documentary,IMAX,Western,Film-Noir,Ratings,Label
38, Richard III (1995),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3,0
39, Dead Presidents (1995),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7,1
40, Restoration (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,3
41, Mortal Kombat (1995),1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,2
42, To Die For (1995),0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6,1
43, How to Make an American Quilt (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8,1
44, Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.2,0
45, Pocahontas (1995),0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,9.3,3
46, When Night Is Falling (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.6,2
47," Usual Suspects, The (1995)",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6.7,2
48, Mighty Aphrodite (1995),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1
49, Lamerica (1994),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,1
50," Big Green, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0
51, Georgia (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0
52, Home for the Holidays (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,2
53," Postman, The (Postino, Il) (1994)",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
54," Indian in the Cupboard, The (1995)",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5,0
55, Eye for an Eye (1996),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.4,2
56, Mr. Holland's Opus (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,3
57, Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.6,1
58, Two if by Sea (1996),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.4,2
59, Bio-Dome (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3
60, Lawnmower Man 2: Beyond Cyberspace (1996),1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,1
61, French Twist (Gazon maudit) (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
62, Friday (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0
63, From Dusk Till Dawn (1996),1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4.6,1
64, Fair Game (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1
65, Kicking and Screaming (1995),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,3
66," Misérables, Les (1995)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.8,1
67, Bed of Roses (1996),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0
68, Big Bully (1996),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,3
69, Screamers (1995),1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6,2
70, Nico Icon (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.7,2
71," Crossing Guard, The (1995)",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.1,2
72," Juror, The (1996)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,2
73," White Balloon, The (Badkonake sefid) (1995)",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0
74, Things to Do in Denver When You're Dead (1995),0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.9,0
75, Antonia's Line (Antonia) (1995),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,2
76, Once Upon a Time... When We Were Colored (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9,1
77, Angels and Insects (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
78, White Squall (1996),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,1
79, Dunston Checks In (1996),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.2,0
80, Black Sheep (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,2
81, Nick of Time (1995),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.3,2
82, Mary Reilly (1996),0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.9,0
83, Vampire in Brooklyn (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6.9,2
84, Beautiful Girls (1996),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.7,1
85, Broken Arrow (1996),1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.8,0
86, In the Bleak Midwinter (1995),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0
87," Hate (Haine, La) (1995)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7,1
88, Heidi Fleiss: Hollywood Madam (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1
89, City Hall (1996),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.6,1
90, Bottle Rocket (1996),0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8.1,3
91, Mr. Wrong (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,1
92, Unforgettable (1996),0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0,1
93, Happy Gilmore (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3
94," Bridges of Madison County, The (1995)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8,3
95, Nobody Loves Me (Keiner liebt mich) (1994),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,1
96, Muppet Treasure Island (1996),0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.9,0
97, Catwalk (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.8,3
98, Braveheart (1995),1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.5,1
99, Taxi Driver (1976),0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.3,1
100, Rumble in the Bronx (Hont faan kui) (1995),1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.8,3
101, Before and After (1996),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.3,1
102, Anne Frank Remembered (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.6,2
103," Young Poisoner's Handbook, The (1995)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.4,2
104, If Lucy Fell (1996),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1
105," Steal Big, Steal Little (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1
106," Boys of St. Vincent, The (1992)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1
107, Boomerang (1992),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
108, Chungking Express (Chung Hing sam lam) (1994),0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0
109, Flirting With Disaster (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,1
110," NeverEnding Story III, The (1994)",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.8,3
111, Jupiter's Wife (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7,0
112, Pie in the Sky (1996),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,1
113, Jade (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.8,3
114, Down Periscope (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,3
115, Man of the Year (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.1,2
116, Up Close and Personal (1996),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0
117," Birdcage, The (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,2
118," Brothers McMullen, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0
119, Bad Boys (1995),1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7.9,3
120," Amazing Panda Adventure, The (1995)",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.7,3
121," Basketball Diaries, The (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1
122," Awfully Big Adventure, An (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3
123, Amateur (1994),0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.1,3
124, Apollo 13 (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.6,3
125, Rob Roy (1995),1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.0,1
126," Addiction, The (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0
127, Batman Forever (1995),1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.5,1
128, Beauty of the Day (Belle de jour) (1967),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,1
129, Beyond Rangoon (1995),0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.9,3
130, Blue in the Face (1995),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0
131, Canadian Bacon (1995),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.2,1
132, Casper (1995),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.6,1
133, Clockers (1995),0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7.5,3
134, Congo (1995),1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.7,1
135, Crimson Tide (1995),0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.6,1
136, Crumb (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.5,2
137, Desperado (1995),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.8,1
138, Devil in a Blue Dress (1995),0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,7.1,2
139, Die Hard: With a Vengeance (1995),1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.9,1
140," Doom Generation, The (1995)",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.9,3
141, First Knight (1995),1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2
142, Free Willy 2: The Adventure Home (1995),0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.2,1
143, Hackers (1995),1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.0,3
144, Jeffrey (1995),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,1
145, Johnny Mnemonic (1995),1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7,0
146, Judge Dredd (1995),1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.1,2
147, Jury Duty (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3
148, Kids (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0
149, Living in Oblivion (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,2
150, Lord of Illusions (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.9,2
151, Love & Human Remains (1993),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0
152, Mad Love (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
153, Mallrats (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1
154, Mighty Morphin Power Rangers: The Movie (1995),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.9,1
155, Mute Witness (1994),0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,9.3,3
156, Nadja (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0
157," Net, The (1995)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.0,1
158, Nine Months (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3,2
159, Party Girl (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,1
160," Prophecy, The (1995)",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2.0,0
161, Reckless (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,2
162, Safe (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,0
163," Scarlet Letter, The (1995)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.2,3
164, Showgirls (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,2
165, Smoke (1995),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
166, Something to Talk About (1995),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,2
167, Species (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,3
168, Strange Days (1995),1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6.7,2
169," Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6.6,2
170, Three Wishes (1995),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3
171, Total Eclipse (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,2
172," To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1
173, Under Siege 2: Dark Territory (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,2
174, Unstrung Heroes (1995),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,3
175, Unzipped (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.1,2
176," Walk in the Clouds, A (1995)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0
177, Waterworld (1995),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,3
178, White Man's Burden (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1
179, Wild Bill (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.6,2
180," Browning Version, The (1994)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,1
181, Bushwhacked (1995),0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1.5,0
182, Burnt by the Sun (Utomlyonnye solntsem) (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,1
183, Before the Rain (Pred dozhdot) (1994),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.3,2
184, Before Sunrise (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0
185, Billy Madison (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,2
186," Babysitter, The (1995)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.9,2
187, Boys on the Side (1995),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,1
188," Cure, The (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,3
189, Castle Freak (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.1,2
190, Circle of Friends (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3
191, Clerks (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,1
192, Don Juan DeMarco (1995),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8,2
193, Disclosure (1994),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.5,2
194, Drop Zone (1994),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,2
195, Destiny Turns on the Radio (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,3
196, Death and the Maiden (1994),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.2,2
197, Dolores Claiborne (1995),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3,0
198, Dumb & Dumber (Dumb and Dumber) (1994),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,2
199, Eat Drink Man Woman (Yin shi nan nu) (1994),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.9,3
200, Exotica (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
201, Exit to Eden (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3
202, Ed Wood (1994),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,2
203, French Kiss (1995),1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3
204, Forget Paris (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
205, Far From Home: The Adventures of Yellow Dog (1995),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.5,2
206," Goofy Movie, A (1995)",0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4.1,1
207, Hideaway (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5,3
208, Fluke (1995),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.6,1
209, Farinelli: il castrato (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.1,2
210, Gordy (1995),0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0
211, Hoop Dreams (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.7,2
212, Heavenly Creatures (1994),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
213, Houseguest (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0
214, Immortal Beloved (1994),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.8,3
215, Heavyweights (Heavy Weights) (1995),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8.9,3
216," Hunted, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,2
217, I.Q. (1994),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,1
218, Interview with the Vampire: The Vampire Chronicles (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.3,3
219, Jefferson in Paris (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,3
220," Jerky Boys, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
221, Junior (1994),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,3
222, Just Cause (1995),0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.0,2
223," Kid in King Arthur's Court, A (1995)",0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.4,1
224, Kiss of Death (1995),0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5.4,2
225, Star Wars: Episode IV - A New Hope (1977),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0
226, Little Women (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,2
227," Little Princess, A (1995)",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.5,3
228, Ladybird Ladybird (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
229, Like Water for Chocolate (Como agua para chocolate) (1992),0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3,2
230, Legends of the Fall (1994),0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5.8,2
231, Major Payne (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2
232, My Crazy Life (Mi vida loca) (1993),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1
233, Love Affair (1994),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.7,3
234, Losing Isaiah (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0
235," Madness of King George, The (1994)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,1
